Date : 2026-05-07 10:59:21
Directory : /home/posedge/work/aiEngine_integrated/picorv32
Total : 133 files,  15176 codes, 907 comments, 2919 blanks, all 19002 lines

Languages
+---------------------------+------------+------------+------------+------------+------------+
| language                  | files      | code       | comment    | blank      | total      |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_top.v            | Verilog                   |        122 |          4 |         15 |        141 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_speed.tcl             | Tcl                       |          9 |          0 |          5 |         14 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_speed.xdc             | Xilinx Design Constraints |          1 |          0 |          1 |          2 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_system.tcl            | Tcl                       |         11 |          1 |          6 |         18 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_system.xdc            | Xilinx Design Constraints |         25 |          4 |          6 |         35 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/system.v                    | Verilog                   |         88 |          2 |         12 |        102 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/system_tb.v                 | Verilog                   |         33 |          0 |          6 |         39 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/table.sh                    | Shell Script              |         18 |          1 |          3 |         22 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/tabtest.sh                  | Shell Script              |         84 |          2 |         18 |        104 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/tabtest.v                   | Verilog                   |        107 |          0 |         12 |        119 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/README.md                | Markdown                  |         48 |          0 |         15 |         63 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/lse.sh                   | Shell Script              |         38 |          6 |         10 |         54 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/synplify.sh              | Shell Script              |         48 |         11 |         16 |         75 |
