"filename", "language", "C", "C++", "Verilog", "Makefile", "YAML", "Markdown", "XML", "Python", "Xilinx Design Constraints", "Tcl", "Shell Script", "Diff", "gtkw_waveconfig", "comment", "blank", "total"
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv_test.h", "C++", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/test.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 13, 33
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/testbench.cc", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/testbench.v", "Verilog", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 135
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/Makefile", "Makefile", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 70
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/firmware.c", "C", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area.xdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_large.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_regular.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_small.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_top.v", "Verilog", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 141
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_speed.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_speed.xdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_system.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 6, 18
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_system.xdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 6, 35
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/system.v", "Verilog", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 102
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/system_tb.v", "Verilog", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/table.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 3, 22
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/tabtest.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 2, 18, 104
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/tabtest.v", "Verilog", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/README.md", "Markdown", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 15, 63
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/lse.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 10, 54
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/synplify.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 11, 16, 75
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/vivado.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys/synth_gates.v", "Verilog", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys/synth_osu018.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 1, 9
"/home/posedge/work/aiEngine_integrated/picorv32/showtrace.py", "Python", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 15, 67
"/home/posedge/work/aiEngine_integrated/picorv32/testbench.cc", "C++", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 45
"/home/posedge/work/aiEngine_integrated/picorv32/testbench.v", "Verilog", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59, 480
"/home/posedge/work/aiEngine_integrated/picorv32/testbench_ez.v", "Verilog", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 87
"/home/posedge/work/aiEngine_integrated/picorv32/testbench_wb.v", "Verilog", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43, 294
"/home/posedge/work/aiEngine_integrated/picorv32/tests/riscv_test.h", "C++", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"/home/posedge/work/aiEngine_integrated/picorv32/tests/test_macros.h", "C++", 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80, 586
"Total", "-", 2274, 789, 7951, 648, 33, 1575, 755, 349, 30, 64, 373, 264, 71, 907, 2919, 19002
